Genre,Publisher,Rank,Year,Global Sales,min(1),Name,North America Sales,% Europe,% Japan,% North America,% Other,Europe Sales,Japan Sales,Number of Video Games,Other Sales,Platform
Role-Playing,Sony Computer Entertainment,8821,2005,0.15,1,Kingdom of Paradise,0.14,0%,0%,93%,7%,0,0,1,0.01,PSP
Role-Playing,Capcom,13638,2005,0.04,1,Breath of Fire III,0,75%,0%,0%,25%,0.03,0,1,0.01,PSP
Role-Playing,Ubisoft,6352,2005,0.27,1,Tales of Eternia,0,4%,93%,0%,4%,0.01,0.25,1,0.01,PSP
Role-Playing,Activision,5967,2005,0.29,1,X-Men Legends II: Rise of Apocalypse,0.25,3%,0%,86%,10%,0.01,0,1,0.03,PSP
Role-Playing,Capcom,1451,2005,1.35,1,Monster Hunter Freedom,0.24,3%,76%,18%,3%,0.04,1.03,1,0.04,PSP
Role-Playing,Activision,1869,2005,1.1,1,Untold Legends: Brotherhood of the Blade,0.54,30%,1%,49%,20%,0.33,0.01,1,0.22,PSP
Role-Playing,Idea Factory,15716,2006,0.02,1,Aedis Eclipse: Generation of Chaos,0.02,0%,0%,100%,0%,0,0,1,0,PSP
Role-Playing,Global A Entertainment,14365,2006,0.03,1,Dungeon Maker: Hunting Ground,0.03,0%,0%,100%,0%,0,0,1,0,PSP
Role-Playing,Namco Bandai Games,14364,2006,0.03,1,The Legend of Heroes III: Song of the Ocean,0.03,0%,0%,100%,0%,0,0,1,0,PSP
Role-Playing,Ubisoft,14179,2006,0.03,1,Astonishia Story,0.03,0%,0%,100%,0%,0,0,1,0,PSP
Role-Playing,Konami Digital Entertainment,13350,2006,0.05,1,Ys: The Ark of Napishtim,0.04,0%,0%,80%,0%,0,0,1,0,PSP
Role-Playing,Atari,12706,2006,0.06,1,Blade Dancer: Lineage of Light,0.05,0%,0%,83%,0%,0,0,1,0,PSP
Role-Playing,Sony Computer Entertainment,10190,2006,0.11,1,Brave Story: New Traveler (US sales),0.11,0%,0%,100%,0%,0,0,1,0,PSP
Role-Playing,Hudson Soft,16523,2006,0.01,1,Tengai Makyo: Dai Yon no Mokushiroku,0,0%,100%,0%,0%,0,0.01,1,0,PSP
Role-Playing,Konami Digital Entertainment,15683,2006,0.02,1,Eyeshield 21: Portable Edition,0,0%,100%,0%,0%,0,0.02,1,0,PSP
Role-Playing,Banpresto,14206,2006,0.03,1,Magna Carta Portable,0,0%,100%,0%,0%,0,0.03,1,0,PSP
Role-Playing,Konami Digital Entertainment,14438,2006,0.03,1,Gensou Suikoden I & II,0,0%,100%,0%,0%,0,0.03,1,0,PSP
Role-Playing,Sony Computer Entertainment,14059,2006,0.04,1,Monster Kingdom: Jewel Summoner,0,0%,100%,0%,0%,0,0.04,1,0,PSP
Role-Playing,Sony Computer Entertainment,13411,2006,0.05,1,Brave Story: New Traveller (jp sales),0,0%,100%,0%,0%,0,0.05,1,0,PSP
Role-Playing,Namco Bandai Games,10192,2006,0.11,1,Tales of Phantasia (PS1 & PSP Versions),0,0%,100%,0%,0%,0,0.11,1,0,PSP
Role-Playing,505 Games,10955,2006,0.09,1,Riviera: The Promised Land,0.07,0%,22%,78%,11%,0,0.02,1,0.01,PSP
Role-Playing,Rising Star Games,6861,2006,0.24,1,Valhalla Knights,0.15,0%,29%,63%,4%,0,0.07,1,0.01,PSP
Role-Playing,Eidos Interactive,7138,2006,0.22,1,Justice League Heroes,0.2,5%,0%,91%,9%,0.01,0,1,0.02,PSP
Role-Playing,Take-Two Interactive,8480,2006,0.16,1,Dungeon Siege: Throne of Agony,0.13,13%,0%,81%,13%,0.02,0,1,0.02,PSP
Role-Playing,Tecmo Koei,7110,2006,0.23,1,Disgaea: Afternoon of Darkness,0.15,4%,17%,65%,9%,0.01,0.04,1,0.02,PSP
Role-Playing,Sony Computer Entertainment,5481,2006,0.33,1,Jeanne d'Arc,0.21,0%,30%,64%,6%,0,0.1,1,0.02,PSP
Role-Playing,Square Enix,5182,2006,0.36,1,Valkyrie Profile: Lenneth,0.17,3%,44%,47%,6%,0.01,0.16,1,0.02,PSP
Role-Playing,Ubisoft,4547,2006,0.43,1,Tales of the World: Radiant Mythology,0.17,2%,53%,40%,5%,0.01,0.23,1,0.02,PSP
Role-Playing,Activision,5142,2006,0.37,1,Marvel: Ultimate Alliance,0.33,0%,0%,89%,8%,0,0,1,0.03,PSP
Role-Playing,Ghostlight,7318,2006,0.21,1,The Legend of Heroes: Trails in the Sky First Chapter,0.1,14%,29%,48%,14%,0.03,0.06,1,0.03,PSP
Role-Playing,Ubisoft,5457,2006,0.33,1,Untold Legends: The Warriors Code,0.14,36%,0%,42%,24%,0.12,0,1,0.08,PSP
Role-Playing,Rising Star Games,16321,2007,0.01,1,Dungeon Explorer: Warriors of Ancient Arts,0.01,0%,0%,100%,0%,0,0,1,0,PSP
Role-Playing,Falcom Corporation,16593,2007,0.01,1,Eiyuu Densetsu: Sora no Kiseki Material Collection Portable,0,0%,100%,0%,0%,0,0.01,1,0,PSP
Role-Playing,Mercury Games,15162,2007,0.02,1,Warriors of the Lost Empire (JP sales),0,0%,100%,0%,0%,0,0.02,1,0,PSP
Role-Playing,Nippon Ichi Software,14212,2007,0.03,1,Makai Senki Disgaea Portable: Tsuushin Taisen Hajime Mashita,0,0%,100%,0%,0%,0,0.03,1,0,PSP
Role-Playing,Tecmo Koei,12115,2007,0.07,1,Dragoneer's Aria,0.02,0%,71%,29%,0%,0,0.05,1,0,PSP
Role-Playing,Falcom Corporation,12365,2007,0.06,1,The Legend of Heroes: Trails in the Sky Second Chapter,0,0%,100%,0%,0%,0,0.06,1,0,PSP
Role-Playing,Namco Bandai Games,9950,2007,0.12,1,Tales of Destiny 2,0,0%,100%,0%,0%,0,0.12,1,0,PSP
Role-Playing,Nippon Ichi Software,9152,2007,0.14,1,"Holy Invasion of Privacy, Badman! What Did I Do to Deserve This?",0,0%,93%,0%,0%,0,0.13,1,0,PSP
Role-Playing,Mercury Games,12473,2007,0.06,1,Warriors of the Lost Empire,0.05,0%,0%,83%,17%,0,0,1,0.01,PSP
Role-Playing,Global A Entertainment,12181,2007,0.07,1,Dungeon Maker II: The Hidden War,0.06,0%,0%,86%,14%,0,0,1,0.01,PSP
Role-Playing,Sega,11597,2007,0.08,1,Alien Syndrome,0.07,0%,0%,88%,13%,0,0,1,0.01,PSP
Role-Playing,505 Games,9224,2007,0.14,1,Wild ARMs XF,0.07,0%,43%,50%,7%,0,0.06,1,0.01,PSP
Role-Playing,Square Enix,3926,2007,0.51,1,Final Fantasy II Anniversary Edition,0.36,6%,14%,71%,8%,0.03,0.07,1,0.04,PSP
Role-Playing,Square Enix,3429,2007,0.59,1,Final Fantasy Anniversary Edition,0.39,3%,22%,66%,7%,0.02,0.13,1,0.04,PSP
Role-Playing,Square Enix,3128,2007,0.65,1,Star Ocean: First Departure,0.2,22%,34%,31%,14%,0.14,0.22,1,0.09,PSP
Role-Playing,Square Enix,1745,2007,1.16,1,Final Fantasy Tactics: The War of the Lions,0.45,22%,26%,39%,14%,0.25,0.3,1,0.16,PSP
Role-Playing,Sega,12327,2008,0.06,1,Crimson Gem Saga,0.06,0%,0%,100%,0%,0,0,1,0,PSP
Role-Playing,Falcom Corporation,14982,2008,0.02,1,Vantage Master Portable,0,0%,100%,0%,0%,0,0.02,1,0,PSP
Role-Playing,Falcom Corporation,15422,2008,0.02,1,Zwei!!,0,0%,100%,0%,0%,0,0.02,1,0,PSP
Role-Playing,Hudson Soft,15494,2008,0.02,1,PC Engine Best Collection: Tengai Makyou Collection,0,0%,100%,0%,0%,0,0.02,1,0,PSP
Role-Playing,Sony Computer Entertainment,15462,2008,0.02,1,Coded Soul: Uke Keigareshi Idea,0,0%,100%,0%,0%,0,0.02,1,0,PSP
Role-Playing,Falcom Corporation,11912,2008,0.07,1,The Legend of Heroes: Trails in the Sky Third Chapter,0,0%,100%,0%,0%,0,0.07,1,0,PSP
Role-Playing,Namco Bandai Games,12004,2008,0.07,1,Tales of Rebirth,0,0%,100%,0%,0%,0,0.07,1,0,PSP
Role-Playing,Idea Factory,13226,2008,0.05,1,Neverland Card Battles,0.04,0%,0%,80%,20%,0,0,1,0.01,PSP
Role-Playing,Zushi Games,9653,2008,0.13,1,Adventures to Go!,0.1,0%,8%,77%,8%,0,0.01,1,0.01,PSP
Role-Playing,Nippon Ichi Software,10740,2008,0.1,1,Mana Khemia: Student Alliance,0.05,0%,30%,50%,10%,0,0.03,1,0.01,PSP
Role-Playing,Sting,10541,2008,0.1,1,Yggdra Union: We'll Never Fight Alone,0.05,0%,40%,50%,10%,0,0.04,1,0.01,PSP
Role-Playing,Acquire,9081,2008,0.14,1,Class of Heroes,0.06,0%,57%,43%,7%,0,0.08,1,0.01,PSP
Role-Playing,Rising Star Games,7108,2008,0.23,1,Valhalla Knights 2,0.09,0%,52%,39%,4%,0,0.12,1,0.01,PSP
Role-Playing,Nippon Ichi Software,6830,2008,0.24,1,"What Did I Do to Deserve This, My Lord!? 2",0.05,0%,75%,21%,4%,0,0.18,1,0.01,PSP
Role-Playing,Square Enix,5413,2008,0.34,1,Star Ocean: Second Evolution,0.14,6%,47%,41%,6%,0.02,0.16,1,0.02,PSP
Role-Playing,Sega,2217,2008,0.94,1,Phantasy Star Portable,0.19,6%,67%,20%,5%,0.06,0.63,1,0.05,PSP
Role-Playing,Idea Factory,13235,2009,0.05,1,Blazing Souls: Accelate,0.04,0%,20%,80%,0%,0,0.01,1,0,PSP
Role-Playing,Falcom Corporation,15118,2009,0.02,1,Brandish: The Dark Revenant,0,0%,100%,0%,0%,0,0.02,1,0,PSP
Role-Playing,Gust,15789,2009,0.02,1,Mana Khemia 2: Ochita Gakuen to Renkinjutsushi Tachi Portable+,0,0%,100%,0%,0%,0,0.02,1,0,PSP
Role-Playing,Namco Bandai Games,15519,2009,0.02,1,Battle Spirits: Kiseki no Hasha,0,0%,100%,0%,0%,0,0.02,1,0,PSP
Role-Playing,Nippon Ichi Software,15676,2009,0.02,1,"Antiphona no Seikahime: Tenshi no Gakufu Op,A",0,0%,100%,0%,0%,0,0.02,1,0,PSP
Role-Playing,Starfish,15641,2009,0.02,1,Elminage II: Sousei no Megami to Unmei no Daichi,0,0%,100%,0%,0%,0,0.02,1,0,PSP
Role-Playing,Aqua Plus,14232,2009,0.03,1,Utawarerumono Portable,0,0%,100%,0%,0%,0,0.03,1,0,PSP
Role-Playing,Nippon Ichi Software,14742,2009,0.03,1,La Pucelle: Ragnarok,0,0%,100%,0%,0%,0,0.03,1,0,PSP
Role-Playing,Tecmo Koei,14743,2009,0.03,1,Kiniro no Corda 2 f Encore,0,0%,100%,0%,0%,0,0.03,1,0,PSP
Role-Playing,Atlus,13511,2009,0.04,1,Growlanser,0,0%,100%,0%,0%,0,0.04,1,0,PSP
Role-Playing,Marvelous Interactive,13814,2009,0.04,1,Valhalla Knights 2: Battle Stance,0,0%,100%,0%,0%,0,0.04,1,0,PSP
Role-Playing,Sony Computer Entertainment,13760,2009,0.04,1,Saru! Get You! Pipo Saru Senki,0,0%,100%,0%,0%,0,0.04,1,0,PSP
Role-Playing,Tecmo Koei,14047,2009,0.04,1,Kiniro no Corda 2 f,0,0%,100%,0%,0%,0,0.04,1,0,PSP
Role-Playing,Tecmo Koei,12323,2009,0.06,1,Zill O'll Infinite Plus,0,0%,100%,0%,0%,0,0.06,1,0,PSP
Role-Playing,Acquire,11397,2009,0.08,1,"Ken to Mahou to Gakuen Mono, 2",0,0%,100%,0%,0%,0,0.08,1,0,PSP
Role-Playing,Namco Bandai Games,10090,2009,0.11,1,Queen's Blade: Spiral Chaos,0,0%,100%,0%,0%,0,0.11,1,0,PSP
Role-Playing,Namco Bandai Games,5460,2009,0.33,1,Tales of the World: Radiant Mythology 2,0,0%,100%,0%,0%,0,0.33,1,0,PSP
Role-Playing,GungHo,11064,2009,0.09,1,Mimana Iyar Chronicle,0.07,0%,11%,78%,11%,0,0.01,1,0.01,PSP
Role-Playing,Falcom Corporation,11228,2009,0.09,1,Ys I & II Chronicles,0.05,0%,33%,56%,11%,0,0.03,1,0.01,PSP
Role-Playing,Atlus,9092,2009,0.14,1,Hexyz Force,0.07,0%,43%,50%,7%,0,0.06,1,0.01,PSP
Role-Playing,Falcom Corporation,7153,2009,0.22,1,Ys Seven,0.14,0%,36%,64%,5%,0,0.08,1,0.01,PSP
Role-Playing,Atlus,7276,2009,0.22,1,Shin Megami Tensei: Persona,0.08,0%,59%,36%,5%,0,0.13,1,0.01,PSP
Role-Playing,GungHo,6905,2009,0.24,1,Lunar: Silver Star Harmony,0.19,0%,13%,79%,8%,0,0.03,1,0.02,PSP
Role-Playing,Rising Star Games,8015,2009,0.18,1,Half-Minute Hero,0.08,11%,39%,44%,11%,0.02,0.07,1,0.02,PSP
Role-Playing,Nippon Ichi Software,6713,2009,0.25,1,Disgaea 2: Dark Hero Days,0.1,4%,48%,40%,8%,0.01,0.12,1,0.02,PSP
Role-Playing,Activision,6711,2009,0.25,1,Marvel: Ultimate Alliance 2,0.17,16%,0%,68%,16%,0.04,0,1,0.04,PSP
Role-Playing,Ghostlight,3227,2009,0.63,1,Shin Megami Tensei: Persona 3 Portable,0.18,10%,54%,29%,6%,0.06,0.34,1,0.04,PSP
Role-Playing,Sega,2375,2009,0.88,1,Phantasy Star Portable 2,0.08,13%,70%,9%,7%,0.11,0.62,1,0.06,PSP
Role-Playing,Idea Factory,14400,2010,0.03,1,Jikandia: The Timeless Land,0.03,0%,0%,100%,0%,0,0,1,0,PSP
Role-Playing,Kadokawa Shoten,16234,2010,0.01,1,Densetsu no Yuusha no Densetsu: Legendary Saga,0,0%,100%,0%,0%,0,0.01,1,0,PSP
Role-Playing,Konami Digital Entertainment,15672,2010,0.02,1,Tegami Bachi: Kokoro Tsumugu Mono e,0,0%,100%,0%,0%,0,0.02,1,0,PSP
Role-Playing,Namco Bandai Games,15843,2010,0.02,1,Battle Spirits: Hero's Soul,0,0%,100%,0%,0%,0,0.02,1,0,PSP
Role-Playing,Gust,14491,2010,0.03,1,Judie no Atelier: Guramnat no Renkinjutsu - Toraware no Morito,0,0%,100%,0%,0%,0,0.03,1,0,PSP
Role-Playing,Nippon Ichi Software,14337,2010,0.03,1,Classic Dungeon: Fuyoku no Masoujin,0,0%,100%,0%,0%,0,0.03,1,0,PSP
Role-Playing,Sting,14611,2010,0.03,1,Blaze Union: Story to Reach the Future,0,0%,100%,0%,0%,0,0.03,1,0,PSP
Role-Playing,Tecmo Koei,13865,2010,0.04,1,Harukanaru Toki no Naka de 4: Aizouban,0,0%,100%,0%,0%,0,0.04,1,0,PSP
Role-Playing,Spike,13164,2010,0.05,1,Fushigi no Dungeon: Fuurai no Shiren 3 Portable,0,0%,100%,0%,0%,0,0.05,1,0,PSP
Role-Playing,Atlus,12818,2010,0.06,1,Tokyo Mono Harashi: Karasu no Mori Gakuen Kitan,0,0%,100%,0%,0%,0,0.06,1,0,PSP
Role-Playing,Nippon Ichi Software,11631,2010,0.08,1,Criminal Girls: Invite Only,0,0%,100%,0%,0%,0,0.08,1,0,PSP
Role-Playing,Acquire,9405,2010,0.13,1,"Ken to Mahou to Gakuen Mono, 3",0,0%,100%,0%,0%,0,0.13,1,0,PSP
Role-Playing,Capcom,9644,2010,0.13,1,Last Ranker,0,0%,100%,0%,0%,0,0.13,1,0,PSP
Role-Playing,Namco Bandai Games,9076,2010,0.14,1,",hack//Link",0,0%,100%,0%,0%,0,0.14,1,0,PSP
Role-Playing,Falcom Corporation,8514,2010,0.16,1,The Legend of Heroes VII: The Trail of Zero,0,0%,100%,0%,0%,0,0.16,1,0,PSP
Role-Playing,Sega,7629,2010,0.2,1,Shining Hearts,0,0%,100%,0%,0%,0,0.2,1,0,PSP
Role-Playing,Namco Bandai Games,7442,2010,0.21,1,Tales of Phantasia: Narikiri Dungeon X,0,0%,100%,0%,0%,0,0.21,1,0,PSP
Role-Playing,Capcom,3343,2010,0.6,1,MonHun Nikki: Poka Poka Ailu Mura,0,0%,100%,0%,0%,0,0.6,1,0,PSP
Role-Playing,Atlus,11203,2010,0.09,1,Knights in the Nightmare,0.06,0%,22%,67%,11%,0,0.02,1,0.01,PSP
Role-Playing,Nippon Ichi Software,11336,2010,0.08,1,Phantom Brave: The Hermuda Triangle,0.05,0%,38%,63%,13%,0,0.03,1,0.01,PSP
Role-Playing,Falcom Corporation,8997,2010,0.14,1,Ys: The Oath in Felghana,0.09,0%,29%,64%,7%,0,0.04,1,0.01,PSP
Role-Playing,Nippon Ichi Software,9242,2010,0.14,1,"Zetta Hero Project: Unlosing Ranger vs, Darkdeath Evilman",0.07,0%,43%,50%,7%,0,0.06,1,0.01,PSP
Role-Playing,Marvelous Interactive,5806,2010,0.31,1,Fate/Extra,0.18,3%,32%,58%,6%,0.01,0.1,1,0.02,PSP
Role-Playing,Square Enix,5754,2010,0.31,1,Lord of Arcana,0.07,13%,55%,23%,10%,0.04,0.17,1,0.03,PSP
Role-Playing,Square Enix,3885,2010,0.51,1,The 3rd Birthday,0.13,14%,53%,25%,10%,0.07,0.27,1,0.05,PSP
Role-Playing,Square Enix,3766,2010,0.53,1,Tactics Ogre: Let Us Cling Together,0.15,13%,51%,28%,9%,0.07,0.27,1,0.05,PSP
Role-Playing,Sega,3730,2010,0.54,1,Valkyria Chronicles II,0.12,30%,33%,22%,17%,0.16,0.18,1,0.09,PSP
Role-Playing,Irem Software Engineering,15992,2011,0.01,1,DokuSui: DokiDoki Suikoden,0,0%,100%,0%,0%,0,0.01,1,0,PSP
Role-Playing,Gust,15920,2011,0.02,1,Violet no Atelier: Gramnad no Renkinjutsushi 2 - Gunjou no Omoide,0,0%,100%,0%,0%,0,0.02,1,0,PSP
Role-Playing,Starfish,15329,2011,0.02,1,Elminage III: Ankoku no Shito to Yaiyou no Kyuuden,0,0%,100%,0%,0%,0,0.02,1,0,PSP
Role-Playing,Starfish,15388,2011,0.02,1,Elminage Original: Majo to Megami to Kamigami no Yubiwa,0,0%,100%,0%,0%,0,0.02,1,0,PSP
Role-Playing,Atlus,14439,2011,0.03,1,Gloria Union,0,0%,100%,0%,0%,0,0.03,1,0,PSP
Role-Playing,Nippon Ichi Software,13657,2011,0.04,1,Phantom Kingdom Portable,0,0%,100%,0%,0%,0,0.04,1,0,PSP
Role-Playing,Tecmo Koei,13750,2011,0.04,1,Harukanaru Toki no Naka de 5,0,0%,100%,0%,0%,0,0.04,1,0,PSP
Role-Playing,Namco Bandai Games,13270,2011,0.05,1,Venus & Braves: Majo to Megami to Horobi no Yogen,0,0%,100%,0%,0%,0,0.05,1,0,PSP
Role-Playing,Nippon Ichi Software,13197,2011,0.05,1,Classic Dungeon X2,0,0%,100%,0%,0%,0,0.05,1,0,PSP
Role-Playing,GungHo,12149,2011,0.07,1,Ragnarok: Hikari to Yami no Koujo,0.02,0%,71%,29%,0%,0,0.05,1,0,PSP
Role-Playing,Atlus,12343,2011,0.06,1,Growlanser IV: Over Reloaded,0,0%,100%,0%,0%,0,0.06,1,0,PSP
Role-Playing,FuRyu,12376,2011,0.06,1,Unchained Blades,0,0%,100%,0%,0%,0,0.06,1,0,PSP
Role-Playing,Konami Digital Entertainment,12715,2011,0.06,1,Senritsu no Stratus,0,0%,100%,0%,0%,0,0.06,1,0,PSP
Role-Playing,Square Enix,10717,2011,0.1,1,Lord of Apocalypse,0,0%,100%,0%,0%,0,0.1,1,0,PSP
Role-Playing,Konami Digital Entertainment,10237,2011,0.11,1,Frontier Gate,0,0%,100%,0%,0%,0,0.11,1,0,PSP
Role-Playing,Unknown,10359,2011,0.11,1,Saigo no Yakusoku no Monogatari,0,0%,100%,0%,0%,0,0.11,1,0,PSP
Role-Playing,Marvelous Interactive,9478,2011,0.13,1,Grand Knights History,0,0%,100%,0%,0%,0,0.13,1,0,PSP
Role-Playing,Namco Bandai Games,9327,2011,0.14,1,Queen's Gate: Spiral Chaos,0,0%,100%,0%,0%,0,0.14,1,0,PSP
Role-Playing,Unknown,8977,2011,0.15,1,Black * Rock Shooter: The Game,0,0%,100%,0%,0%,0,0.15,1,0,PSP
Role-Playing,Square Enix,8695,2011,0.16,1,Kingdom Hearts: Birth by Sleep - Final Mix,0,0%,100%,0%,0%,0,0.16,1,0,PSP
Role-Playing,Falcom Corporation,7606,2011,0.2,1,The Legend of Heroes VII: The Trail of Blue,0,0%,100%,0%,0%,0,0.2,1,0,PSP
Role-Playing,Sega,7583,2011,0.2,1,7th Dragon 2020,0,0%,100%,0%,0%,0,0.2,1,0,PSP
Role-Playing,Sony Computer Entertainment,7701,2011,0.2,1,Ore no Shikabane o Koete Yuke,0,0%,100%,0%,0%,0,0.2,1,0,PSP
Role-Playing,Namco Bandai Games,6162,2011,0.28,1,Tales of the World: Radiant Mythology 3,0,0%,100%,0%,0%,0,0.28,1,0,PSP
Role-Playing,Capcom,5706,2011,0.31,1,MonHun Nikki: Poka Poka Ailu Mura G,0,0%,100%,0%,0%,0,0.31,1,0,PSP
Role-Playing,Namco Bandai Games,5252,2011,0.36,1,Toriko: Gourmet Survival!,0,0%,100%,0%,0%,0,0.36,1,0,PSP
Role-Playing,Sega,5107,2011,0.37,1,Phantasy Star Portable 2: Infinity,0,0%,100%,0%,0%,0,0.37,1,0,PSP
Role-Playing,Level 5,4893,2011,0.39,1,Danball Senki,0,0%,100%,0%,0%,0,0.39,1,0,PSP
Role-Playing,Unknown,2546,2011,0.81,1,Final Fantasy Type-0,0,0%,100%,0%,0%,0,0.81,1,0,PSP
Role-Playing,Atlus,9839,2011,0.12,1,Gungnir: Mayari no Gunshin to Eiyuu Sensou,0.07,0%,33%,58%,8%,0,0.04,1,0.01,PSP
Role-Playing,Sony Computer Entertainment,8857,2011,0.15,1,White Knight Chronicles: Origins,0,27%,60%,0%,13%,0.04,0.09,1,0.02,PSP
Role-Playing,Atlus,5900,2011,0.3,1,Shin Megami Tensei: Persona 2: Innocent Sin,0.13,10%,37%,43%,10%,0.03,0.11,1,0.03,PSP
Role-Playing,Square Enix,3598,2011,0.56,1,Final Fantasy IV: The Complete Collection,0.13,16%,48%,23%,11%,0.09,0.27,1,0.06,PSP
Role-Playing,Alchemist,15925,2012,0.02,1,Gaku ? Ou: The Royal Seven Stars,0,0%,100%,0%,0%,0,0.02,1,0,PSP
Role-Playing,FuRyu,15369,2012,0.02,1,UnchainBlades EXXiV,0,0%,100%,0%,0%,0,0.02,1,0,PSP
Role-Playing,Kadokawa Games,15572,2012,0.02,1,Entaku no Seito: The Eternal Legend,0,0%,100%,0%,0%,0,0.02,1,0,PSP
Role-Playing,Starfish,15393,2012,0.02,1,Elminage Gothic: Ulm Zakir to Yami no Gishiki,0,0%,100%,0%,0%,0,0.02,1,0,PSP
Role-Playing,Ackkstudios,14678,2012,0.03,1,Harukanaru Toki no Naka de 5: Kazahanaki,0,0%,100%,0%,0%,0,0.03,1,0,PSP
Role-Playing,Compile Heart,13558,2012,0.04,1,Record of Agarest War: Marriage,0,0%,100%,0%,0%,0,0.04,1,0,PSP
Role-Playing,Spike,13707,2012,0.04,1,Shiren the Wanderer 4 - God's Eye and the Demon's Navel,0,0%,100%,0%,0%,0,0.04,1,0,PSP
Role-Playing,Atlus,12951,2012,0.05,1,Persona 2: Eternal Punishment,0,0%,100%,0%,0%,0,0.05,1,0,PSP
Role-Playing,Namco Bandai Games,12652,2012,0.06,1,Nendoroid Generation,0,0%,100%,0%,0%,0,0.06,1,0,PSP
Role-Playing,Namco Bandai Games,12160,2012,0.07,1,Heroes Phantasia,0,0%,100%,0%,0%,0,0.07,1,0,PSP
Role-Playing,Namco Bandai Games,11961,2012,0.07,1,Lost Heroes,0,0%,100%,0%,0%,0,0.07,1,0,PSP
Role-Playing,Namco Bandai Games,11788,2012,0.07,1,Summon Night 4,0,0%,100%,0%,0%,0,0.07,1,0,PSP
Role-Playing,Spike,11713,2012,0.08,1,Conception: Please Give Birth to My Child!,0,0%,100%,0%,0%,0,0.08,1,0,PSP
Role-Playing,Acquire,11066,2012,0.09,1,"Shin Ken to Mah? to Gakuenmono, Toki no Gakuen",0,0%,100%,0%,0%,0,0.09,1,0,PSP
Role-Playing,Image Epoch,10788,2012,0.1,1,Sol Trigger,0,0%,100%,0%,0%,0,0.1,1,0,PSP
Role-Playing,Square Enix,10025,2012,0.11,1,Final Fantasy III,0,0%,100%,0%,0%,0,0.11,1,0,PSP
Role-Playing,Namco Bandai Games,9662,2012,0.12,1,Puella Magi Madoka Magica Portable,0,0%,100%,0%,0%,0,0.12,1,0,PSP
Role-Playing,Namco Bandai Games,9739,2012,0.12,1,Summon Night 3,0,0%,100%,0%,0%,0,0.12,1,0,PSP
Role-Playing,Konami Digital Entertainment,9354,2012,0.13,1,Suikoden: Tsumugareshi Hyakunen no Toki,0,0%,100%,0%,0%,0,0.13,1,0,PSP
Role-Playing,Namco Bandai Games,9416,2012,0.13,1,Tales of the Heroes: Twin Brave,0,0%,100%,0%,0%,0,0.13,1,0,PSP
Role-Playing,Level 5,7978,2012,0.19,1,Little Battlers eXperience W,0,0%,100%,0%,0%,0,0.19,1,0,PSP
Role-Playing,Sega,7538,2012,0.2,1,Shining Blade,0,0%,100%,0%,0%,0,0.2,1,0,PSP
Role-Playing,Aqua Plus,11581,2013,0.08,1,Dungeon Travelers 2: The Royal Library & The Monster Seal,0,0%,100%,0%,0%,0,0.08,1,0,PSP
Role-Playing,Namco Bandai Games,10573,2013,0.1,1,Digimon Adventure,0,0%,100%,0%,0%,0,0.1,1,0,PSP
Role-Playing,Sega,10270,2013,0.11,1,Shining Ark,0,0%,100%,0%,0%,0,0.11,1,0,PSP
Role-Playing,Sega,9619,2013,0.13,1,7th Dragon 2020-II,0,0%,100%,0%,0%,0,0.13,1,0,PSP
Role-Playing,Namco Bandai Games,8975,2013,0.15,1,Summon Night 5,0,0%,100%,0%,0%,0,0.15,1,0,PSP
Role-Playing,Namco Bandai Games,7143,2013,0.22,1,Sword Art Online: Infinity Moment,0,0%,100%,0%,0%,0,0.22,1,0,PSP
Role-Playing,Namco Bandai Games,6938,2013,0.24,1,God Eater 2,0,0%,100%,0%,0%,0,0.24,1,0,PSP
Role-Playing,Nippon Ichi Software,5872,,0.3,1,Disgaea 3: Absence of Detention,0.13,20%,23%,43%,13%,0.06,0.07,1,0.04,PSV
Role-Playing,Square Enix,10604,2011,0.1,1,Lord of Apocalypse,0,0%,100%,0%,0%,0,0.1,1,0,PSV
Role-Playing,Level 5,13571,2012,0.04,1,Little Battlers eXperience W,0,0%,100%,0%,0%,0,0.04,1,0,PSV
Role-Playing,Falcom Corporation,11962,2012,0.07,1,The Legend of Heroes VII: The Trail of Zero,0,0%,100%,0%,0%,0,0.07,1,0,PSV
Role-Playing,Gust,11104,2012,0.09,1,Atelier Totori: The Adventurer of Arland,0,0%,100%,0%,0%,0,0.09,1,0,PSV
Role-Playing,Namco Bandai Games,10688,2012,0.1,1,Tales of Innocence R,0,0%,100%,0%,0%,0,0.1,1,0,PSV
Role-Playing,GungHo,4597,2012,0.42,1,Ragnarok Odyssey,0.22,2%,38%,52%,7%,0.01,0.16,1,0.03,PSV
Role-Playing,Atlus,1407,2012,1.38,1,Persona 4: Golden,0.46,25%,28%,33%,15%,0.34,0.38,1,0.21,PSV
Role-Playing,CyberFront,14697,2013,0.03,1,Labyrinth Cross Blood: Infinity,0,0%,100%,0%,0%,0,0.03,1,0,PSV
Role-Playing,FuRyu,14343,2013,0.03,1,Exstetra,0,0%,100%,0%,0%,0,0.03,1,0,PSV
Role-Playing,Rising Star Games,14351,2013,0.03,1,Sorcery Saga: The Curse of the Great Curry God,0,0%,100%,0%,0%,0,0.03,1,0,PSV
